mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0303250789642334,0.004504788208580807,0.013243722915649413,0.0030983292689354446,5,2,10,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9230769230769231,0.02305074391582751,33
0.025060510635375975,0.005201076054823256,0.008173036575317382,0.002400552943947288,5,2,7,gini,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 7, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.9560439560439561,0.945054945054945,0.9010989010989011,0.9230769230769231,0.02305074391582751,33
0.028585243225097656,0.0014394617891878847,0.009285068511962891,0.0007626387271669236,5,1,5,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'entropy'}",0.9560439560439561,0.9120879120879121,0.967032967032967,0.9340659340659341,0.9120879120879121,0.9362637362637363,0.02241327258722105,10
0.024771499633789062,0.002095655686029676,0.007976150512695313,0.0018152807372957488,5,4,7,entropy,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 7, 'criterion': 'entropy'}",0.967032967032967,0.9010989010989011,0.9340659340659341,0.9340659340659341,0.9230769230769231,0.9318681318681319,0.0213084828897421,14
0.014477968215942383,0.0015375290639676343,0.006158685684204102,0.0002996634019641688,2,1,3,gini,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'criterion': 'gini'}",0.945054945054945,0.9010989010989011,0.945054945054945,0.9340659340659341,0.9340659340659341,0.9318681318681319,0.016150481820548408,14
0.013971281051635743,0.0015513169607357428,0.0047623634338378905,0.000606138196566752,10,4,7,gini,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 7, 'criterion': 'gini'}",0.945054945054945,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.9010989010989011,0.9230769230769231,0.015540808377726312,33
0.010596323013305663,0.0019890460216853622,0.0036421298980712892,0.0007627750219534833,2,2,10,gini,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'gini'}",0.9120879120879121,0.8791208791208791,0.9560439560439561,0.945054945054945,0.8901098901098901,0.9164835164835164,0.02997402570766124,48
0.00995464324951172,0.0011553768908932327,0.0036618709564208984,0.0008252041278343917,10,1,7,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 7, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.978021978021978,0.945054945054945,0.9340659340659341,0.9472527472527472,0.028991002106094305,1
0.009425020217895508,0.002016159659339319,0.004198789596557617,0.000812008893451769,5,1,5,gini,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.978021978021978,0.9120879120879121,0.9120879120879121,0.923076923076923,0.02780024316631541,44
0.012199974060058594,0.0025148529177851714,0.0061527729034423825,0.0019617904681479533,10,4,10,gini,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'criterion': 'gini'}",0.945054945054945,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.9010989010989011,0.9230769230769231,0.015540808377726312,33
0.01597743034362793,0.0018887795114280812,0.006198406219482422,0.0011443764463352774,2,1,10,entropy,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'entropy'}",0.9560439560439561,0.9120879120879121,0.9560439560439561,0.9230769230769231,0.9230769230769231,0.9340659340659341,0.01838813245129838,11
0.014059209823608398,0.0009301921026693703,0.005873203277587891,0.0009183277449797508,10,4,8,gini,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 8, 'criterion': 'gini'}",0.945054945054945,0.9120879120879121,0.9230769230769231,0.9340659340659341,0.9010989010989011,0.9230769230769231,0.015540808377726312,33
0.01649312973022461,0.0017472796202818608,0.0065572261810302734,0.0011031662436159014,10,1,5,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.978021978021978,0.945054945054945,0.9340659340659341,0.9472527472527472,0.028991002106094305,1
0.017002105712890625,0.0019822987947447322,0.005521965026855469,0.0013616108088606617,10,2,10,entropy,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'entropy'}",0.978021978021978,0.9010989010989011,0.978021978021978,0.945054945054945,0.9340659340659341,0.9472527472527472,0.028991002106094305,1
0.014377784729003907,0.0012546603459849218,0.005955171585083008,0.0009597407679345294,2,2,5,gini,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 5, 'criterion': 'gini'}",0.9120879120879121,0.9010989010989011,0.9560439560439561,0.945054945054945,0.9120879120879121,0.9252747252747253,0.021308482889742117,29
